Symbol,DateID,Open,High,Low,Close,Volume,Adj Close,2
ATOS,20151126,0.82,0.84,0.79,0.84,186200,0.84,
ATOS,20151127,0.82,0.83,0.8,0.8,72200,0.8,
ATOS,20151128,0.76,0.82,0.76,0.82,37400,0.82,
ATOS,20151129,0.81,0.82,0.79,0.79,118600,0.79,
ATOS,20151130,0.8,0.8,0.75,0.75,40500,0.75,
ATOS,20151201,0.75,0.78,0.7,0.7,249700,0.7,
ATOS,20151202,0.7,0.74,0.69,0.7,96800,0.7,
ATOS,20151203,0.7,0.76,0.69,0.7,56800,0.7,
ATOS,20151204,0.69,0.75,0.69,0.7,55400,0.7,
ATOS,20151205,0.69,0.74,0.65,0.67,82100,0.67,
ATOS,20151206,0.69,0.72,0.65,0.67,71900,0.67,
ATOS,20151207,0.66,0.69,0.65,0.68,68400,0.68,
ATOS,20151208,0.71,0.71,0.65,0.65,102500,0.65,
ATOS,20151209,0.65,0.67,0.62,0.64,142900,0.64,
ATOS,20151210,0.65,0.67,0.62,0.64,100400,0.64,
ATOS,20151211,0.62,0.73,0.62,0.71,184800,0.71,
ATOS,20151212,0.72,0.73,0.65,0.67,175900,0.67,
ATOS,20151213,0.68,0.69,0.66,0.67,41100,0.67,
AVA,20151214,33.540001,33.540001,33.07,33.150002,289800,33.150002,
AVA,20151215,33.169998,33.34,32.939999,33.040001,323300,33.040001,
AVA,20151216,33,33.630001,32.84,33.5,272700,33.5,
AVA,20151217,33.580002,33.66,33.25,33.419998,201400,33.419998,
AVA,20151218,33.57,34,33.369999,33.900002,321100,33.900002,
AVA,20151219,33.830002,34.130001,33.830002,33.880001,221600,33.880001,
AVA,20151220,33.889999,34.23,33.790001,33.84,168500,33.84,
AVA,20151221,33.830002,34.380001,33.799999,34.349998,225300,34.349998,
AVA,20151222,34.52,34.700001,34.200001,34.330002,213700,34.330002,
AVA,20151223,34.490002,34.549999,34.060001,34.549999,256200,34.549999,
AVA,20151224,34.439999,34.82,34.349998,34.77,206800,34.77,
AVA,20151225,34.900002,35.240002,34.459999,34.48,199200,34.48,
AVA,20151226,34.560001,34.91,34.549999,34.77,211900,34.77,
AVA,20151227,34.740002,34.740002,34.049999,34.189999,135200,34.189999,
AVA,20151228,34.18,34.34,33.849998,34.290001,209000,34.290001,
AVA,20151229,34.23,34.419998,33.970001,34.110001,253100,34.110001,
AVA,20151230,34.09,34.439999,33.48,34,260500,34,
AVA,20151231,33.77,33.93,33.189999,33.650002,216500,33.650002,
AVA,20160101,33.68,34.040001,33.529999,33.849998,221100,33.849998,
AVA,20160102,33.720001,33.860001,33.330002,33.709999,391900,33.709999,
AVA,20160103,33.619999,33.82,33.330002,33.580002,256900,33.580002,
AVA,20160104,34.009998,34.470001,33.599998,34.27,218600,34.27,
AVA,20160105,34.330002,34.610001,34.169998,34.439999,204400,34.439999,
BANR,20160106,48.029999,48.389999,47.220001,47.34,100200,47.34,
BANR,20160107,47.540001,49.52,47.540001,49.349998,224200,49.349998,
BANR,20160108,49.599998,49.75,48.68,49.490002,123600,49.490002,
BANR,20160109,49.5,49.549999,48.009998,48.59,286100,48.59,
BANR,20160110,48.650002,49.27,48.07,49.060001,99100,49.060001,
BANR,20160111,48.950001,49.470001,48.919998,49.43,102700,49.43,
BANR,20160112,49.290001,49.639999,47.200001,47.549999,193800,47.549999,
BANR,20160113,47.860001,49.040001,47.669998,49.040001,54000,49.040001,
BANR,20160114,49.07,49.5,48.720001,49.220001,71900,49.220001,
BANR,20160115,48.970001,49.5,48.900002,49.060001,55100,49.060001,
BANR,20160116,49,49.990002,48.990002,49.830002,113800,49.830002,
BANR,20160117,50.41,50.41,48.849998,48.860001,149700,48.860001,
BANR,20160118,48.439999,49.939999,47.509998,49.790001,161700,49.790001,
BANR,20160119,48.790001,49.709999,47.630001,48.889999,226400,48.889999,
BANR,20160120,49.310001,49.73,48.130001,49.32,143800,49.32,
BANR,20160121,49.110001,49.639999,48.299999,48.57,124300,48.57,
BANR,20160122,48.610001,50.619999,48.610001,50.48,185900,50.48,
BANR,20160123,50.400002,51.209999,50.25,50.720001,108800,50.720001,
BANR,20160124,50.389999,50.77,48.82,49.07,107000,49.07,
BANR,20160125,49.18,50.990002,49.029999,50.630001,149400,50.630001,
BANR,20160126,50.459999,51.040001,49.990002,50.720001,90600,50.720001,
BANR,20160127,50.82,51.16,50.32,50.400002,148100,50.400002,
BANR,20160128,50.419998,51.43,50,51.290001,172800,51.290001,
